flow_peak_datetime,peak_flow_m3s,peak_hour,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,maximum_hourly_rainfall_mm,hours_from_rainfall_maximum_to_flow_peak,mean_disaggregation_fraction,maximum_disaggregation_fraction,maximum_gauge_distance_km,month,season,water_year_angle,antecedent_7d_mm,antecedent_14d_mm,antecedent_30d_mm,antecedent_30d_anomaly_mm_per_day
2011-03-14 09:45:00,18.77,2011-03-14 09:00:00,15.128999999999998,26.84,32.611999999999995,2.573,43.0,0.0,0.0,7.248399999999999,3,spring,2.8301231079684763,21.636,22.535,61.224,0.011243548387096958
2011-07-16 19:30:00,26.885,2011-07-16 19:00:00,18.31,19.136,19.136,3.69,14.0,0.5482191780821919,1.0,7.248399999999999,7,summer,4.971677963095354,35.557,42.866,102.083,0.7185705376344083
2011-08-11 15:15:00,32.739,2011-08-11 15:00:00,49.896,62.782,62.782,7.145,16.0,0.2726027397260273,1.0,7.248399999999999,8,summer,5.416198978406376,54.842,63.092999999999996,134.642,1.7618976344086024
2011-10-17 18:15:00,38.27,2011-10-17 18:00:00,31.465000000000003,32.248000000000005,32.32,9.279,3.0,0.4690410958904109,1.0,7.248399999999999,10,autumn,0.28772897197324554,20.723999999999997,59.236,95.768,-0.03440946236559128
2011-12-08 10:30:00,18.38,2011-12-08 10:00:00,11.647999999999998,20.365,20.99,4.584999999999999,4.0,0.0624657534246575,0.19,7.248399999999999,12,winter,1.1748784001642156,45.864,75.881,84.793,-0.38831634408602156
2012-06-17 01:45:00,20.276,2012-06-17 01:00:00,29.705,42.754,42.802,3.439,7.0,0.1232876712328767,1.0,7.248399999999999,6,summer,4.464716745342462,24.901,44.775999999999996,68.134,-0.09756133333333317
2012-06-22 07:45:00,19.079,2012-06-22 07:00:00,27.167,27.321,27.321,6.283,3.0,0.4232876712328768,1.0,7.248399999999999,6,summer,4.554844403437251,50.403999999999996,80.889,99.31400000000001,0.9417720000000007
2012-07-07 08:30:00,48.645,2012-07-07 08:00:00,26.088,27.346000000000004,44.44,7.514999999999999,64.0,0.0,0.0,7.248399999999999,7,summer,4.812888472149117,34.446000000000005,85.40200000000002,166.291,2.8588372043010746
2012-09-26 08:45:00,22.154,2012-09-26 08:00:00,15.86,38.564,40.309,4.038,2.0,0.0147945205479452,0.54,7.248399999999999,9,autumn,6.203608307472878,24.403,41.179,86.407,0.5001120000000001
2012-10-12 08:15:00,24.656,2012-10-12 08:00:00,38.686,38.696,38.745,3.359,13.0,0.6832876712328767,1.0,7.248399999999999,10,autumn,0.19527365295429708,5.55,50.739,116.367,0.6522238709677421
2012-10-16 12:45:00,20.305,2012-10-16 12:00:00,16.545,19.312,22.739,2.7310000000000003,3.0,0.0,0.0,7.248399999999999,10,autumn,0.2673581419236519,40.392,62.68300000000001,143.977,1.5725572043010754
2013-12-30 15:00:00,28.404,2013-12-30 15:00:00,28.516,30.091,45.087,4.09,6.0,0.0295890410958904,0.09,6.3647,12,winter,1.5600374478442465,58.05199999999999,94.666,142.22,1.5259169892473117
2014-12-22 07:45:00,19.759,2014-12-22 07:00:00,26.108,26.709,31.823,2.838,10.0,0.1808219178082191,0.55,6.3647,12,winter,1.4171236724497793,18.671000000000003,65.023,75.329,-0.7037830107526886
2015-12-06 09:00:00,30.44,2015-12-06 09:00:00,30.044000000000004,50.55500000000001,78.24799999999999,4.194,4.0,0.0,0.0,6.3647,12,winter,1.1394711059126914,47.949999999999996,56.403999999999996,194.34,3.2632503225806446
2015-12-26 20:00:00,24.036,2015-12-26 20:00:00,37.036,39.483,57.008,5.773,63.0,0.0,0.0,6.3647,12,winter,1.4906828529328617,37.241,53.405,201.10399999999998,3.4887169892473113
2016-01-10 21:15:00,21.619,2016-01-10 21:00:00,35.892,37.824,40.112,4.903999999999999,22.0,0.1446575342465753,0.44,6.3647,1,winter,1.7490845710816123,28.369,85.317,172.608,2.572202150537635
2016-01-27 14:15:00,18.714,2016-01-27 14:00:00,17.875999999999998,37.528000000000006,37.88,3.881,28.0,0.2712328767123287,0.99,6.3647,1,winter,2.0359194194626475,15.609,60.30800000000001,170.955,2.5171021505376348
